school,year,games,wins,losses,ties,preseason_rank,postseason_rank,first_name,last_name
Boston College,2014,13,7,6,0,,,Steve,Addazio
Boston College,2015,12,3,9,0,,,Steve,Addazio
Boston College,2016,13,7,6,0,,,Steve,Addazio
Boston College,2017,13,7,6,0,,,Steve,Addazio
Boston College,2018,12,7,5,0,,,Steve,Addazio
Boston College,2019,12,6,6,0,,,Steve,Addazio
Indiana,2016,1,0,1,0,,,Tom,Allen
Indiana,2017,12,5,7,0,,,Tom,Allen
Indiana,2018,12,5,7,0,,,Tom,Allen
Indiana,2019,13,8,5,0,,,Tom,Allen
Wisconsin,2014,1,1,0,0,14,13,Barry,Alvarez
Wisconsin,2014,13,10,3,0,14,13,Gary,Andersen
Oregon State,2015,12,2,10,0,,,Gary,Andersen
Oregon State,2016,12,4,8,0,,,Gary,Andersen
Oregon State,2017,6,1,5,0,,,Gary,Andersen
Oregon State,2019,13,7,6,0,,,Gary,Andersen
Arkansas State,2014,13,7,6,0,,,Blake,Anderson
Arkansas State,2015,13,9,4,0,,,Blake,Anderson
Arkansas State,2016,13,8,5,0,,,Blake,Anderson
Arkansas State,2017,12,7,5,0,,,Blake,Anderson
Arkansas State,2018,13,8,5,0,,,Blake,Anderson
Arkansas State,2019,13,8,5,0,,,Blake,Anderson
Houston,2016,1,0,1,0,15,,Major,Applewhite
Houston,2017,12,7,5,0,,,Major,Applewhite
Houston,2018,13,8,5,0,,,Major,Applewhite
Akron,2019,12,0,12,0,,,Tom,Arth
Rutgers,2016,12,2,10,0,,,Chris,Ash
Rutgers,2017,12,4,8,0,,,Chris,Ash
Rutgers,2018,12,1,11,0,,,Chris,Ash
Rutgers,2019,4,1,3,0,,,Chris,Ash
Bowling Green,2014,14,8,6,0,,,Dino,Babers
Bowling Green,2015,13,10,3,0,,,Dino,Babers
Syracuse,2016,12,4,8,0,,,Dino,Babers
Syracuse,2017,12,4,8,0,,,Dino,Babers
Syracuse,2018,13,10,3,0,,,Dino,Babers
Syracuse,2019,12,5,7,0,22,,Dino,Babers
Rice,2014,13,8,5,0,,,David,Bailiff
Rice,2015,12,5,7,0,,,David,Bailiff
Rice,2016,12,3,9,0,,,David,Bailiff
Rice,2017,12,1,11,0,,,David,Bailiff
Texas A&M,2017,1,0,1,0,,,Jeff,Banks
Virginia Tech,2014,13,7,6,0,,,Frank,Beamer
Virginia Tech,2015,13,7,6,0,,,Frank,Beamer
Kansas,2015,12,0,12,0,,,David,Beaty
Kansas,2016,12,2,10,0,,,David,Beaty
Kansas,2017,12,1,11,0,,,David,Beaty
Kansas,2018,12,3,9,0,,,David,Beaty
UMass,2019,12,1,11,0,,,Walt,Bell
Arkansas,2014,13,7,6,0,,,Bret,Bielema
Arkansas,2015,13,8,5,0,18,,Bret,Bielema
Arkansas,2016,13,7,6,0,,,Bret,Bielema
Arkansas,2017,12,4,8,0,,,Bret,Bielema
East Carolina,2018,1,0,1,0,,,David,Blackwell
Troy,2014,12,3,9,0,,,Larry,Blakeney
Rice,2018,13,2,11,0,,,Mike,Bloomgren
Rice,2019,12,3,9,0,,,Mike,Bloomgren
Colorado State,2015,13,7,6,0,,,Mike,Bobo
Colorado State,2016,13,7,6,0,,,Mike,Bobo
Colorado State,2017,13,7,6,0,,,Mike,Bobo
Colorado State,2018,12,3,9,0,,,Mike,Bobo
Colorado State,2019,12,4,8,0,,,Mike,Bobo
Wyoming,2014,12,4,8,0,,,Craig,Bohl
Wyoming,2015,12,2,10,0,,,Craig,Bohl
Wyoming,2016,14,8,6,0,,,Craig,Bohl
Wyoming,2017,13,8,5,0,,,Craig,Bohl
Wyoming,2018,12,6,6,0,,,Craig,Bohl
Wyoming,2019,13,8,5,0,,,Craig,Bohl
Central Michigan,2015,13,7,6,0,,,John,Bonamego
Central Michigan,2016,13,6,7,0,,,John,Bonamego
Central Michigan,2017,13,8,5,0,,,John,Bonamego
Central Michigan,2018,12,1,11,0,,,John,Bonamego
Akron,2014,12,5,7,0,,,Terry,Bowden
Akron,2015,13,8,5,0,,,Terry,Bowden
Akron,2016,12,5,7,0,,,Terry,Bowden
Akron,2017,14,7,7,0,,,Terry,Bowden
Akron,2018,12,4,8,0,,,Terry,Bowden
San José State,2017,13,2,11,0,,,Brent,Brennan
San José State,2018,12,1,11,0,,,Brent,Brennan
San José State,2019,12,5,7,0,,,Brent,Brennan
Baylor,2014,13,11,2,0,10,7,Art,Briles
Baylor,2015,13,10,3,0,4,13,Art,Briles
Western Kentucky,2014,13,8,5,0,,,Jeff,Brohm
Western Kentucky,2015,14,12,2,0,,24,Jeff,Brohm
Western Kentucky,2016,13,10,3,0,,,Jeff,Brohm
Purdue,2017,13,7,6,0,,,Jeff,Brohm
Purdue,2018,13,6,7,0,,,Jeff,Brohm
Purdue,2019,12,4,8,0,,,Jeff,Brohm
North Carolina,2019,13,7,6,0,,,Mack,Brown
Troy,2015,12,4,8,0,,,Neal,Brown
Troy,2016,13,10,3,0,,,Neal,Brown
Troy,2017,13,11,2,0,,,Neal,Brown
Troy,2018,13,10,3,0,,,Neal,Brown
West Virginia,2019,12,5,7,0,,,Neal,Brown
Air Force,2014,13,10,3,0,,,Troy,Calhoun
Air Force,2015,14,8,6,0,,,Troy,Calhoun
Air Force,2016,13,10,3,0,,,Troy,Calhoun
Air Force,2017,12,5,7,0,,,Troy,Calhoun
Air Force,2018,12,5,7,0,,,Troy,Calhoun
Air Force,2019,13,11,2,0,,22,Troy,Calhoun
Rutgers,2019,8,1,7,0,,,Nunzio,Campanile
Toledo,2014,13,9,4,0,,,Matt,Campbell
Toledo,2015,11,9,2,0,,,Matt,Campbell
Iowa State,2016,12,3,9,0,,,Matt,Campbell
Iowa State,2017,13,8,5,0,,,Matt,Campbell
Iowa State,2018,13,8,5,0,,,Matt,Campbell
Iowa State,2019,13,7,6,0,21,,Matt,Campbell
South Alabama,2018,12,3,9,0,,,Steve,Campbell
South Alabama,2019,12,2,10,0,,,Steve,Campbell
Maryland,2018,12,5,7,0,,,Matt,Canada
Toledo,2015,1,1,0,0,,,Jason,Candle
Toledo,2016,13,9,4,0,,,Jason,Candle
Toledo,2017,14,11,3,0,,,Jason,Candle
Toledo,2018,13,7,6,0,,,Jason,Candle
Toledo,2019,12,6,6,0,,,Jason,Candle
Northern Illinois,2014,14,11,3,0,,,Rod,Carey
Northern Illinois,2015,14,8,6,0,,,Rod,Carey
Northern Illinois,2016,12,5,7,0,,,Rod,Carey
Northern Illinois,2017,13,8,5,0,,,Rod,Carey
Northern Illinois,2018,14,8,6,0,,,Rod,Carey
Temple,2019,13,8,5,0,,,Rod,Carey
Coastal Carolina,2017,12,3,9,0,,,Jamey,Chadwell
Coastal Carolina,2019,12,5,7,0,,,Jamey,Chadwell
Pittsburgh,2014,12,6,6,0,,,Paul,Chryst
Wisconsin,2015,13,10,3,0,20,21,Paul,Chryst
Wisconsin,2016,14,11,3,0,,9,Paul,Chryst
Wisconsin,2017,14,13,1,0,9,7,Paul,Chryst
Wisconsin,2018,13,8,5,0,4,,Paul,Chryst
Wisconsin,2019,14,10,4,0,19,11,Paul,Chryst
UAB,2014,12,6,6,0,,,Bill,Clark
UAB,2017,13,8,5,0,,,Bill,Clark
UAB,2018,14,11,3,0,,,Bill,Clark
UAB,2019,14,9,5,0,,,Bill,Clark
Appalachian State,2019,1,1,0,0,,19,Shawn,Clark
Wake Forest,2014,12,3,9,0,,,Dave,Clawson
Wake Forest,2015,12,3,9,0,,,Dave,Clawson
Wake Forest,2016,13,7,6,0,,,Dave,Clawson
Wake Forest,2017,13,8,5,0,,,Dave,Clawson
Wake Forest,2018,13,7,6,0,,,Dave,Clawson
Wake Forest,2019,13,8,5,0,,,Dave,Clawson
UT San Antonio,2014,12,4,8,0,,,Larry,Coker
UT San Antonio,2015,12,3,9,0,,,Larry,Coker
Temple,2017,13,7,6,0,,,Geoff,Collins
Temple,2018,12,8,4,0,,,Geoff,Collins
Georgia Tech,2019,12,3,9,0,,,Geoff,Collins
Eastern Michigan,2014,12,2,10,0,,,Chris,Creighton
Eastern Michigan,2015,12,1,11,0,,,Chris,Creighton
Eastern Michigan,2016,13,7,6,0,,,Chris,Creighton
Eastern Michigan,2017,12,5,7,0,,,Chris,Creighton
Eastern Michigan,2018,13,7,6,0,,,Chris,Creighton
Eastern Michigan,2019,13,6,7,0,,,Chris,Creighton
Oregon,2018,13,9,4,0,24,,Mario,Cristobal
